CustomerID,Churn_probability,Action,Contract,Internet Service,Tenure Months,Monthly Charges,Payment Method
3722-WPXTK,0.7553271081104933,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,88.35,Electronic check
9717-QEBGU,0.7549836406210056,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.3,Electronic check
7130-VTEWQ,0.7548689820066398,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,75.75,Electronic check
2514-GINMM,0.7546183697133729,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,79.5,Electronic check
8380-PEFPE,0.7546024042574585,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,71.65,Electronic check
0970-ETWGE,0.7545625235370573,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,89.55,Electronic check
9804-ICWBG,0.7545455665955834,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.9,Electronic check
8443-ZRDBZ,0.7541637332049175,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,76.05,Electronic check
2034-GDRCN,0.7535391208627504,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,90.4,Electronic check
3721-CNEYS,0.7534514858635899,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.95,Electronic check
0295-PPHDO,0.7533403248037988,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,95.45,Electronic check
8258-GSTJK,0.7527745045255707,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,77.0,Electronic check
6979-ZNSFF,0.7527225231824584,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,87.05,Electronic check
4090-KPJIP,0.7525465815880849,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,74.95,Electronic check
4713-LZDRV,0.7521755920168043,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,79.6,Electronic check
8752-STIVR,0.7520973457979779,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,79.0,Electronic check
4806-KEXQR,0.7516602594591894,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,79.9,Electronic check
1320-HTRDR,0.7501877747487111,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,75.5,Electronic check
3199-XGZCY,0.7491410213433057,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,75.25,Electronic check
7180-PISOG,0.748665073645386,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,74.5,Electronic check
4115-NZRKS,0.7486002473855302,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,89.15,Electronic check
1853-UDXBW,0.7474809122084729,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,70.0,Electronic check
8541-QVFKM,0.7474317008040258,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,73.5,Electronic check
6630-UJZMY,0.7463820777203213,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,83.25,Electronic check
8161-QYMTT,0.7455603248309198,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,94.1,Electronic check
4229-CZMLL,0.7454033502515987,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,74.9,Electronic check
0679-IDSTG,0.7453865464848622,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.25,Electronic check
3422-LYEPQ,0.7444252280370656,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,71.0,Electronic check
3519-ZKXGG,0.7442432790672318,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,75.85,Electronic check
3750-CKVKH,0.7441886238940227,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,67.75,Electronic check
1016-DJTSV,0.744051829772274,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,69.7,Electronic check
9611-CTWIH,0.7436902260076508,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,89.45,Electronic check
9685-WKZGT,0.7435869424135337,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,14,74.95,Electronic check
9334-GWGOW,0.7424394954681016,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,74.85,Electronic check
6230-BSUXY,0.7424339447634555,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,85.0,Electronic check
2077-MPJQO,0.7420195254272245,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,75.4,Electronic check
7354-OIJLX,0.7405401698391592,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,75.85,Electronic check
6000-APYLU,0.7402430863633565,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,80.8,Electronic check
3030-YDNRM,0.7396937488197319,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,74.85,Electronic check
8245-UMPYT,0.7381748602945684,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,16,96.4,Electronic check
5178-LMXOP,0.7378715886732621,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,95.1,Electronic check
6969-MVBAI,0.7377808536897139,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,90.1,Electronic check
2202-CUYXZ,0.7369553601730975,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,84.85,Electronic check
2865-TCHJW,0.7369025296415375,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,89.2,Electronic check
6861-XWTWQ,0.7359508234493489,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,99.25,Electronic check
2482-CZGBB,0.7357944158419175,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,10,70.0,Electronic check
4631-OACRM,0.7354729453882577,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,15,79.4,Electronic check
6023-YEBUP,0.7352462781523431,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,100.95,Electronic check
2959-MJHIC,0.7349442824658996,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,80.35,Electronic check
7249-WBIYX,0.7341877908941133,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,10,85.6,Electronic check
7363-QTBIW,0.7331760089614339,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,79.75,Electronic check
3320-VEOYC,0.7330751868729852,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,14,95.6,Electronic check
3244-DCJWY,0.7330262555767151,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,70.25,Electronic check
5196-SGOAK,0.7309626160382998,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,75.7,Electronic check
7235-NXZCP,0.7301694255644808,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,74.85,Mailed check
1628-BIZYP,0.7300878632178983,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,85.0,Electronic check
2867-UIMSS,0.7288764054149375,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,80.5,Electronic check
8884-ADFVN,0.7275259013959092,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,101.95,Electronic check
5159-YFPKQ,0.7274600539584164,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,75.8,Electronic check
6856-RAURS,0.7259776738153637,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,74.9,Mailed check
3707-GNWHM,0.7257867148499467,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,74.25,Mailed check
1867-BDVFH,0.7256481637922683,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,11,74.35,Electronic check
2761-OCIAX,0.7250463514452362,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,74.7,Electronic check
7209-JCUDS,0.724089099560347,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,10,94.9,Electronic check
4301-VVZKA,0.7237051827141056,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,16,75.4,Electronic check
0004-TLHLJ,0.7234297003372495,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,73.9,Electronic check
3006-XIMLN,0.7230723223203256,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,94.2,Bank transfer (automatic)
8739-XNIKG,0.722846685756698,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,5,84.0,Electronic check
5228-EXCET,0.7228242573323064,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,13,80.85,Electronic check
4927-WWOOZ,0.7218531127055009,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,91.45,Electronic check
5442-BHQNG,0.7213846928574393,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.35,Electronic check
5186-SAMNZ,0.7211855044024175,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,69.5,Bank transfer (automatic)
2737-YNGYW,0.7206924941952272,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,80.55,Electronic check
5382-SOYZL,0.7198730942881153,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,22,95.1,Electronic check
0685-MLYYM,0.7192317965469927,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.75,Electronic check
8775-ERLNB,0.7186031266144361,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,74.3,Electronic check
4029-HPFVY,0.7184316912251525,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,70.3,Mailed check
6376-GAHQE,0.7170842683325824,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,77.85,Electronic check
7005-CCBKV,0.7168097772557478,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,84.4,Electronic check
1475-VWVDO,0.7165250175261,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,74.9,Electronic check
8873-GLDMH,0.7161326883702773,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,73.85,Mailed check
7198-GLXTC,0.715805762522807,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,79.0,Electronic check
9576-ANLXO,0.7154112598343305,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,69.55,Bank transfer (automatic)
2985-FMWYF,0.714825819107989,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,23,93.5,Electronic check
4983-CCWMC,0.7141572797416085,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,69.6,Mailed check
8821-XNHVZ,0.712344984471251,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,80.05,Mailed check
1448-PWKYE,0.7114260657870394,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,80.0,Electronic check
7534-BFESC,0.7110963595543095,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,24,76.1,Electronic check
1980-KXVPM,0.7107660400428495,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,75.05,Credit card (automatic)
9507-EXLTT,0.7098709374005999,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,79.35,Bank transfer (automatic)
8622-ZLFKO,0.7093856399399837,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,90.75,Electronic check
6372-RFVNS,0.709173275153382,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,78.8,Electronic check
2754-XBHTB,0.7083928843570151,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,77.65,Bank transfer (automatic)
6328-ZPBGN,0.7081843358671197,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,11,95.15,Bank transfer (automatic)
1400-MMYXY,0.7081772515492307,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,105.9,Electronic check
4283-FUTGF,0.7070750836548035,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,19,79.85,Electronic check
8361-LTMKD,0.7059645051547956,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,74.4,Mailed check
5628-FCGYG,0.7057521147343437,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,21,84.1,Electronic check
8699-ASUFO,0.7049351824963044,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,74.4,Mailed check
7855-DIWPO,0.7046194468333168,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,21,68.65,Electronic check
2057-ZBLPD,0.7035595109310044,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,21,86.5,Electronic check
6507-ZJSUR,0.7033567705523344,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,23,90.45,Electronic check
0958-YHXGP,0.703040431699983,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,69.9,Mailed check
6712-OAWRH,0.702208034726826,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,26,91.25,Electronic check
7912-SYRQT,0.701959089528593,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,75.1,Bank transfer (automatic)
5357-TZHPP,0.7010992034594261,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,84.4,Credit card (automatic)
6319-IEJWJ,0.700906988524615,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,20,90.2,Electronic check
6705-LXORM,0.7005813659041721,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,5,70.05,Electronic check
2501-XWWTZ,0.7003682015623178,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,11,70.2,Electronic check
0841-NULXI,0.6998160406351827,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,35.55,Electronic check
5501-TVMGM,0.6997269137621797,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,55.25,Electronic check
9221-OTIVJ,0.6994797747671668,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,14,104.85,Electronic check
4873-ILOLJ,0.699428556626522,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,24,90.35,Electronic check
1768-ZAIFU,0.6991216529947399,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,25.2,Electronic check
2845-HSJCY,0.6990436073499159,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,14,87.25,Electronic check
0330-IVZHA,0.6987029342843158,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,5,69.95,Electronic check
0655-RBDUG,0.6986618181550379,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,98.05,Bank transfer (automatic)
7861-UVUFT,0.6977610594733434,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,15,84.3,Electronic check
9940-RHLFB,0.6972793580553761,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,75.3,Electronic check
6899-PPEEA,0.6968694692157976,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,37,96.55,Electronic check
8696-JKZNU,0.6966605170191346,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,37,76.25,Electronic check
6910-HADCM,0.6961301392520772,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,76.35,Electronic check
4706-AXVKM,0.6956878124636208,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,11,84.8,Credit card (automatic)
1092-GANHU,0.6955051040020895,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,17,76.65,Electronic check
6857-VWJDT,0.6946153327287949,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,95.65,Mailed check
3672-YITQD,0.6943581702774091,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,36,84.1,Electronic check
6557-BZXLQ,0.6939830370871313,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,16,69.65,Electronic check
2187-PKZAY,0.6931759262664144,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,12,79.95,Bank transfer (automatic)
3063-QFSZL,0.6930520447810642,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,55.4,Electronic check
3365-SAIGS,0.6927294407324055,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,17,83.55,Electronic check
2254-DLXRI,0.6926700304929243,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,79.15,Mailed check
4547-LYTDD,0.6921880862016937,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,16,72.65,Electronic check
1658-TJVOA,0.6916245521566832,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,74.1,Electronic check
8739-WWKDU,0.6906375410754501,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,25,89.5,Electronic check
1989-PRJHP,0.6905993455035856,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,27,75.5,Electronic check
4735-ASGMA,0.6902002273997436,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,26,98.35,Electronic check
3858-VOBET,0.6897850779071546,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,23,74.95,Electronic check
2325-NBPZG,0.6897535595730727,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,74.55,Electronic check
4587-VVTOX,0.689621478392556,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,105.3,Electronic check
0988-JRWWP,0.6895710924394594,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,3,54.2,Electronic check
9840-DVNDC,0.6890670613517318,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,80.5,Credit card (automatic)
3338-CVVEH,0.6887856013013637,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,12,94.55,Electronic check
2027-FECZV,0.6880656493168753,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,12,106.7,Electronic check
3908-BLSYF,0.6879134538332191,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,83.9,Electronic check
7587-RZNME,0.6875574380605539,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,3,43.3,Electronic check
7218-HKQFK,0.6875433945514213,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,94.2,Electronic check
7278-CKDNC,0.6871530623053141,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,24,80.5,Electronic check
2495-INZWQ,0.6866983792913182,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,4,44.55,Electronic check
3717-OEAUQ,0.6859176996480918,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.7,Mailed check
8132-YPVBX,0.6851988027405228,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,6,85.95,Mailed check
0524-IAVZO,0.684299833818322,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,30,85.0,Electronic check
6680-WKXRZ,0.6842636076854974,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,74.4,Bank transfer (automatic)
1751-NCDLI,0.68408072386578,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,46,98.85,Electronic check
3877-JRJIP,0.6837712594598311,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,59.85,Electronic check
4512-ZUIYL,0.6827998849773725,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,70.0,Bank transfer (automatic)
6543-XRMYR,0.6826762928529866,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,30,99.7,Electronic check
6166-ILMNY,0.6823644377341853,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,69.75,Bank transfer (automatic)
8676-TRMJS,0.6823595565241619,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,75.0,Mailed check
2485-ITVKB,0.6819416602365799,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,2,35.1,Electronic check
1302-UHBDD,0.6818321910953827,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,20,89.95,Electronic check
0432-CAJZV,0.6817495963536233,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,90.7,Mailed check
1335-NTIUC,0.6817138702329392,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,9,24.95,Electronic check
8778-LMWTJ,0.6815985615818854,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,9,74.85,Electronic check
5167-ZFFMM,0.6814454584413574,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,90.85,Credit card (automatic)
7410-YTJIK,0.6813221887981524,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,7,75.45,Mailed check
2919-HBCJO,0.6811613789128608,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,76.65,Bank transfer (automatic)
0581-BXBUB,0.6808310950715867,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,72.75,Electronic check
7273-TEFQD,0.6807455398539237,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,3,41.15,Electronic check
4706-DGAHW,0.6803431454237513,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,45.2,Electronic check
7571-YXDAD,0.680308178381818,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,74.9,Credit card (automatic)
6175-IRFIT,0.6801882182094974,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,5,78.75,Mailed check
0235-KGSLC,0.6783533417812536,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,1,85.55,Credit card (automatic)
3677-IYRBF,0.678045381476004,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,2,30.4,Electronic check
9279-CJEOJ,0.6770518160746916,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,21,95.4,Bank transfer (automatic)
0388-EOPEX,0.6769827531593268,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,2,74.4,Electronic check
0923-PNFUB,0.6768081188890409,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,83.75,Electronic check
9866-QEVEE,0.6759448914421179,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,19,86.0,Bank transfer (automatic)
4360-PNRQB,0.6753948666784977,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,18,75.6,Bank transfer (automatic)
1894-IGFSG,0.6750061262435532,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,22,89.25,Electronic check
9283-LZQOH,0.6747167710236082,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,13,74.4,Credit card (automatic)
3585-ISXZP,0.6741478250932373,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,8,95.65,Bank transfer (automatic)
0430-IHCDJ,0.6736817836756431,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,15,49.0,Electronic check
8080-DDEMJ,0.6736137401004823,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,45.1,Electronic check
4817-VYYWS,0.6734991379815686,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,30,100.2,Electronic check
5480-HPRRX,0.6734138334718771,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,3,25.3,Electronic check
9167-APMXZ,0.6730811027472252,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,22,84.15,Bank transfer (automatic)
8393-DLHGA,0.672917851716651,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,25,95.9,Electronic check
3966-HRMZA,0.6722409520508095,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,75.05,Mailed check
4690-LLKUA,0.6720408802929865,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,17,45.05,Electronic check
2860-RANUS,0.671959163877479,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,20,85.8,Credit card (automatic)
0506-LVNGN,0.6712816647475168,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,5,75.55,Credit card (automatic)
8160-HOWOX,0.6710406507221015,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,7,66.85,Electronic check
5144-TVGLP,0.670921897595895,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,38,94.75,Electronic check
6022-UGGSO,0.6707813469696182,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,32,74.4,Electronic check
0256-LTHVJ,0.6703689564279388,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,28,81.05,Electronic check
5052-PNLOS,0.6702622911262658,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,3,105.35,Bank transfer (automatic)
6608-QQLVK,0.6701654137954933,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,1,50.5,Electronic check
2955-BJZHG,0.6695606508816451,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,17,80.85,Electronic check
5226-NOZFC,0.6695133932745054,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,26,85.75,Electronic check
6834-NXDCA,0.6691937661736289,Ưu tiên liên hệ giữ chân,Month-to-month,DSL,13,23.9,Electronic check
8266-VBFQL,0.6688521290161382,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,4,90.4,Electronic check
2101-RANCD,0.668756325628303,Ưu tiên liên hệ giữ chân,Month-to-month,Fiber optic,55,73.1,Electronic check
